seq,ground_truth,predicted
1,surprised,unknown
2,embassed,unknown
3,wink,unknown
4,sad,unknown
5,smile,unknown
6,wink,wink
7,smile,smile
8,surprised,surprised
9,sad,sad
10,smile,smile
11,embarrassed,embarrassed
12,embarrassed,embarrassed
13,sad,sad
14,smile,smile
15,wink,wink
16,surprised,surprised
17,sad,sad
18,surprised,surprised
19,wink,wink
20,embarrassed,embarrassed
