seq,ground_truth,predicted
1,wink,unknown
2,embarrassed,unknown
3,sad,unknown
4,smile,unknown
5,surprised,unknown
6,embarrassed,embarrassed
7,wink,wink
8,surprised,surprised
9,smile,smile
10,wink,wink
11,sad,sad
12,embarrassed,embarrassed
13,sad,sad
14,smile,smile
15,surprised,surprised
16,wink,embarrassed
17,sad,sad
18,embarrassed,embarrassed
19,smile,smile
20,surprised,surprised
